Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression,Chrome 126.0.0.0,,,2024-07-24 17:29:52,2024-07-24 17:37:02,7m - 9.773s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/4G TopX/XCells/TopX 4G Cell default,Chrome 126.0.0.0,,,2024-07-24 17:29:52,2024-07-24 17:30:39,46.979s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,2024-07-24 17:29:53,2024-07-24 17:30:12,19.647s,PASSED
switchToWindowIndex(1),Chrome 126.0.0.0,,,2024-07-24 17:30:12,2024-07-24 17:30:13,0.152s,PASSED
"PMHwaueiTopX.TopX(""4G"", ""Cell"", false, ""Hourly"", false, null)",Chrome 126.0.0.0,,,2024-07-24 17:30:13,2024-07-24 17:30:39,26.671s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/4G TopX/XCells/TopX 4G Cell with LowX,Chrome 126.0.0.0,,,2024-07-24 17:30:39,2024-07-24 17:31:35,56.126s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,2024-07-24 17:30:40,2024-07-24 17:30:57,17.255s,PASSED
switchToWindowIndex(1),Chrome 126.0.0.0,,,2024-07-24 17:30:57,2024-07-24 17:30:57,0.482s,PASSED
"PMHwaueiTopX.TopX(""4G"", ""Cell"", true, ""Hourly"", true, null)",Chrome 126.0.0.0,,,2024-07-24 17:30:57,2024-07-24 17:31:35,37.932s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/4G TopX/XPLMN/TopX 4G PLMN default,Chrome 126.0.0.0,,,2024-07-24 17:31:35,2024-07-24 17:32:51,1m - 15.918s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,2024-07-24 17:31:36,2024-07-24 17:31:56,19.802s,PASSED
switchToWindowIndex(1),Chrome 126.0.0.0,,,2024-07-24 17:31:56,2024-07-24 17:31:56,0.077s,PASSED
"PMHwaueiTopX.TopX(""4G"", ""PLMN"", false, ""Hourly"", false, null)",Chrome 126.0.0.0,,,2024-07-24 17:31:56,2024-07-24 17:32:51,55.319s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/4G TopX/XPLMN/TopX 4G PLMN with LowX,Chrome 126.0.0.0,,,2024-07-24 17:32:51,2024-07-24 17:33:29,37.765s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,2024-07-24 17:32:52,2024-07-24 17:33:08,15.836s,PASSED
switchToWindowIndex(1),Chrome 126.0.0.0,,,2024-07-24 17:33:08,2024-07-24 17:33:08,0.098s,PASSED
"PMHwaueiTopX.TopX(""4G"", ""PLMN"", true, ""Hourly"", true, null)",Chrome 126.0.0.0,,,2024-07-24 17:33:08,2024-07-24 17:33:29,21.215s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/4G TopX/XRegion/TopX 4G Region default,Chrome 126.0.0.0,,,2024-07-24 17:33:29,2024-07-24 17:34:04,34.527s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,2024-07-24 17:33:29,2024-07-24 17:33:45,16.009s,PASSED
switchToWindowIndex(1),Chrome 126.0.0.0,,,2024-07-24 17:33:45,2024-07-24 17:33:45,0.110s,PASSED
"PMHwaueiTopX.TopX(""4G"", ""Region"", false, ""Hourly"", false, null)",Chrome 126.0.0.0,,,2024-07-24 17:33:45,2024-07-24 17:34:04,18.096s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/4G TopX/XRegion/TopX 4G Region with LowX,Chrome 126.0.0.0,,,2024-07-24 17:34:04,2024-07-24 17:34:41,37.489s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,2024-07-24 17:34:04,2024-07-24 17:34:20,15.601s,PASSED
switchToWindowIndex(1),Chrome 126.0.0.0,,,2024-07-24 17:34:20,2024-07-24 17:34:20,0.146s,PASSED
"PMHwaueiTopX.TopX(""4G"", ""Region"", true, ""Hourly"", true, null)",Chrome 126.0.0.0,,,2024-07-24 17:34:20,2024-07-24 17:34:41,21.226s,PASSED
