Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression TopX 2G,Chrome 127.0.0.0,,,2024-08-04 13:58:36,2024-08-04 14:49:36,50m - 59.467s,FAILED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XPLMN/TopX 2G PLMN default,Chrome 127.0.0.0,,,2024-08-04 13:58:37,2024-08-04 13:59:12,35.885s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 13:58:37,2024-08-04 13:58:55,17.850s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 13:58:55,2024-08-04 13:58:55,0.156s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""PLMN"", false, ""Hourly"", false, null)",Chrome 127.0.0.0,,,2024-08-04 13:58:55,2024-08-04 13:59:12,17.406s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XPLMN/TopX 2G PLMN with LowX,Chrome 127.0.0.0,,,2024-08-04 13:59:12,2024-08-04 13:59:41,28.214s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 13:59:13,2024-08-04 13:59:25,11.993s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 13:59:25,2024-08-04 13:59:25,0.053s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""PLMN"", true, ""Hourly"", true, null)",Chrome 127.0.0.0,,,2024-08-04 13:59:25,2024-08-04 13:59:41,15.823s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XPLMN/TopX 2G PLMN Daily,Chrome 127.0.0.0,,,2024-08-04 13:59:41,2024-08-04 14:00:10,29.007s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 13:59:41,2024-08-04 13:59:53,12.259s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 13:59:53,2024-08-04 13:59:53,0.071s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""PLMN"", false, ""Daily"", false, null)",Chrome 127.0.0.0,,,2024-08-04 13:59:53,2024-08-04 14:00:10,16.370s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XPLMN/TopX 2G PLMN DailyBH,Chrome 127.0.0.0,,,2024-08-04 14:00:10,2024-08-04 14:02:35,2m - 24.904s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 14:00:10,2024-08-04 14:00:22,12.376s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 14:00:22,2024-08-04 14:00:22,0.068s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""PLMN"", false, ""DailyBH"", false, null)",Chrome 127.0.0.0,,,2024-08-04 14:00:22,2024-08-04 14:02:35,2m - 12.142s,FAILED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XRegion/TopX 2G Region default,Chrome 127.0.0.0,,,2024-08-04 14:02:35,2024-08-04 14:03:15,40.722s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 14:02:35,2024-08-04 14:02:58,23.406s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 14:02:58,2024-08-04 14:02:58,0.063s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Region"", false, ""Hourly"", false, null)",Chrome 127.0.0.0,,,2024-08-04 14:02:58,2024-08-04 14:03:15,16.979s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XRegion/TopX 2G Region with LowX,Chrome 127.0.0.0,,,2024-08-04 14:03:15,2024-08-04 14:04:07,51.958s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 14:03:16,2024-08-04 14:03:38,22.917s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 14:03:38,2024-08-04 14:03:39,0.063s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Region"", true, ""Hourly"", true, null)",Chrome 127.0.0.0,,,2024-08-04 14:03:39,2024-08-04 14:04:07,28.721s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XRegion/TopX 2G Region Daily,Chrome 127.0.0.0,,,2024-08-04 14:04:07,2024-08-04 14:04:35,27.906s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 14:04:08,2024-08-04 14:04:19,11.421s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 14:04:19,2024-08-04 14:04:19,0.067s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Region"", false, ""Daily"", false, null)",Chrome 127.0.0.0,,,2024-08-04 14:04:19,2024-08-04 14:04:35,16.154s,PASSED
,,,,,,,
