Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2G Regression,Chrome 127.0.0.0,,,2024-08-25 16:25:51,2024-08-25 16:45:47,19m - 55.569s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/PLMN/PLMN 2G Neighbors,Chrome 127.0.0.0,,,2024-08-25 16:25:51,2024-08-25 16:26:41,50.181s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:25:52,2024-08-25 16:26:18,26.746s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:26:18,2024-08-25 16:26:18,0.061s,PASSED
"SON.son(""huawei"", ""2G"", ""PLMN"", ""2G Neighbors"", """")",Chrome 127.0.0.0,,,2024-08-25 16:26:18,2024-08-25 16:26:41,23.085s,PASSED
,,,,,,,
Test Cases/SON/Huawei/2G/Region/Region 2G Neighbors,Chrome 127.0.0.0,,,2024-08-25 16:26:41,2024-08-25 16:27:30,48.366s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:26:42,2024-08-25 16:27:06,24.705s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:27:06,2024-08-25 16:27:06,0.058s,PASSED
"SON.son(""huawei"", ""2G"", ""Region"", ""2G Neighbors"", """")",Chrome 127.0.0.0,,,2024-08-25 16:27:06,2024-08-25 16:27:30,23.392s,PASSED
,,,,,,,
Test Cases/SON/Huawei/2G/Site/Site 2G Neighbors,Chrome 127.0.0.0,,,2024-08-25 16:27:30,2024-08-25 16:30:06,2m - 36.094s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:27:30,2024-08-25 16:27:55,24.611s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:27:55,2024-08-25 16:27:55,0.091s,PASSED
"SON.son(""huawei"", ""2G"", ""Site"", ""2G Neighbors"", """")",Chrome 127.0.0.0,,,2024-08-25 16:27:55,2024-08-25 16:30:06,2m - 11.168s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/Cell/Cell 2G Neighbors,Chrome 127.0.0.0,,,2024-08-25 16:30:06,2024-08-25 16:32:52,2m - 46.086s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:30:06,2024-08-25 16:30:30,23.955s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:30:30,2024-08-25 16:30:30,0.129s,PASSED
"SON.son(""huawei"", ""2G"", ""Cell"", ""2G Neighbors"", """")",Chrome 127.0.0.0,,,2024-08-25 16:30:30,2024-08-25 16:32:52,2m - 21.824s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/BSC/BSC 2G Neighbors,Chrome 127.0.0.0,,,2024-08-25 16:32:52,2024-08-25 16:34:02,1m - 10.324s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:32:52,2024-08-25 16:33:16,23.910s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:33:16,2024-08-25 16:33:16,0.124s,PASSED
"SON.son(""huawei"", ""2G"", ""BSC"", ""2G Neighbors"", """")",Chrome 127.0.0.0,,,2024-08-25 16:33:16,2024-08-25 16:34:02,46.030s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/Cluster/Cluster 2G Neighbors,Chrome 127.0.0.0,,,2024-08-25 16:34:02,2024-08-25 16:34:45,43.086s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:34:03,2024-08-25 16:34:29,26.286s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:34:29,2024-08-25 16:34:29,0.072s,PASSED
"SON.son(""huawei"", ""2G"", ""Cluster"", ""2G Neighbors"", """")",Chrome 127.0.0.0,,,2024-08-25 16:34:29,2024-08-25 16:34:45,16.517s,PASSED
,,,,,,,
Test Cases/SON/Huawei/2G/Governorate/Governorate 2G Neighbors,Chrome 127.0.0.0,,,2024-08-25 16:34:45,2024-08-25 16:35:31,45.347s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:34:46,2024-08-25 16:35:11,24.859s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:35:11,2024-08-25 16:35:11,0.106s,PASSED
"SON.son(""huawei"", ""2G"", ""Governorate"", ""2G Neighbors"", """")",Chrome 127.0.0.0,,,2024-08-25 16:35:11,2024-08-25 16:35:31,20.162s,PASSED
,,,,,,,
Test Cases/SON/Huawei/2G/PLMN/PLMN 2G CoBCCH,Chrome 127.0.0.0,,,2024-08-25 16:35:31,2024-08-25 16:36:12,41.281s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:35:31,2024-08-25 16:35:55,23.485s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:35:55,2024-08-25 16:35:55,0.096s,PASSED
"SON.son(""huawei"", ""2G"", ""PLMN"", ""2G CoBCCH"", """")",Chrome 127.0.0.0,,,2024-08-25 16:35:55,2024-08-25 16:36:12,17.489s,PASSED
,,,,,,,
Test Cases/SON/Huawei/2G/Region/Region 2G CoBCCH,Chrome 127.0.0.0,,,2024-08-25 16:36:12,2024-08-25 16:36:58,45.650s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:36:12,2024-08-25 16:36:36,23.462s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:36:36,2024-08-25 16:36:36,0.115s,PASSED
"SON.son(""huawei"", ""2G"", ""Region"", ""2G CoBCCH"", """")",Chrome 127.0.0.0,,,2024-08-25 16:36:36,2024-08-25 16:36:58,21.873s,PASSED
,,,,,,,
Test Cases/SON/Huawei/2G/Site/Site 2G CoBCCH,Chrome 127.0.0.0,,,2024-08-25 16:36:58,2024-08-25 16:38:20,1m - 22.453s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:36:58,2024-08-25 16:37:21,22.767s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:37:21,2024-08-25 16:37:21,0.106s,PASSED
"SON.son(""huawei"", ""2G"", ""Site"", ""2G CoBCCH"", """")",Chrome 127.0.0.0,,,2024-08-25 16:37:21,2024-08-25 16:38:20,59.317s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/Cell/Cell 2G CoBCCH,Chrome 127.0.0.0,,,2024-08-25 16:38:20,2024-08-25 16:40:56,2m - 35.711s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:38:20,2024-08-25 16:38:46,25.586s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:38:46,2024-08-25 16:38:46,0.109s,PASSED
"SON.son(""huawei"", ""2G"", ""Cell"", ""2G CoBCCH"", """")",Chrome 127.0.0.0,,,2024-08-25 16:38:46,2024-08-25 16:40:56,2m - 9.822s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/BSC/BSC 2G CoBCCH,Chrome 127.0.0.0,,,2024-08-25 16:40:56,2024-08-25 16:42:25,1m - 29.074s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:40:56,2024-08-25 16:41:19,22.732s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:41:19,2024-08-25 16:41:19,0.076s,PASSED
"SON.son(""huawei"", ""2G"", ""BSC"", ""2G CoBCCH"", """")",Chrome 127.0.0.0,,,2024-08-25 16:41:19,2024-08-25 16:42:25,1m - 6.032s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/Cluster/Cluster 2G CoBCCH,Chrome 127.0.0.0,,,2024-08-25 16:42:25,2024-08-25 16:43:01,36.058s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:42:25,2024-08-25 16:42:48,22.389s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:42:48,2024-08-25 16:42:48,0.092s,PASSED
"SON.son(""huawei"", ""2G"", ""Cluster"", ""2G CoBCCH"", """")",Chrome 127.0.0.0,,,2024-08-25 16:42:48,2024-08-25 16:43:01,13.311s,PASSED
,,,,,,,
