Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression Stats 4g,Chrome 129.0.0.0,,,2024-10-03 15:55:18,2024-10-03 16:15:12,19m - 53.450s,FAILED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/PLMN/PLMN,Chrome 129.0.0.0,,,2024-10-03 15:55:19,2024-10-03 15:55:51,32.262s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-10-03 15:55:19,2024-10-03 15:55:40,21.355s,PASSED
switchToWindowIndex(1),Chrome 129.0.0.0,,,2024-10-03 15:55:40,2024-10-03 15:55:40,0.040s,PASSED
"PMHwaueiStats.Stats(""4G"", ""PLMN"", false, ""Hourly"")",Chrome 129.0.0.0,,,2024-10-03 15:55:40,2024-10-03 15:55:50,9.848s,PASSED
Start tear down : tearDownTestCase,Chrome 129.0.0.0,,,2024-10-03 15:55:50,2024-10-03 15:55:51,0.639s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Region-Folder/Region,Chrome 129.0.0.0,,,2024-10-03 15:55:51,2024-10-03 15:56:36,44.588s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-10-03 15:55:52,2024-10-03 15:56:12,20.248s,PASSED
switchToWindowIndex(1),Chrome 129.0.0.0,,,2024-10-03 15:56:12,2024-10-03 15:56:12,0.031s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Region"", false, ""Hourly"")",Chrome 129.0.0.0,,,2024-10-03 15:56:12,2024-10-03 15:56:36,23.458s,PASSED
Start tear down : tearDownTestCase,Chrome 129.0.0.0,,,2024-10-03 15:56:36,2024-10-03 15:56:36,0.013s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Region-Folder/Region-Aggregation,Chrome 129.0.0.0,,,2024-10-03 15:56:36,2024-10-03 15:57:15,39.584s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-10-03 15:56:36,2024-10-03 15:56:55,19.171s,PASSED
switchToWindowIndex(1),Chrome 129.0.0.0,,,2024-10-03 15:56:55,2024-10-03 15:56:55,0.024s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Region"", true, ""Hourly"")",Chrome 129.0.0.0,,,2024-10-03 15:56:55,2024-10-03 15:57:15,19.723s,PASSED
Start tear down : tearDownTestCase,Chrome 129.0.0.0,,,2024-10-03 15:57:15,2024-10-03 15:57:15,0.007s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Site/Site,Chrome 129.0.0.0,,,2024-10-03 15:57:15,2024-10-03 15:58:07,51.895s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-10-03 15:57:15,2024-10-03 15:57:34,18.917s,PASSED
switchToWindowIndex(1),Chrome 129.0.0.0,,,2024-10-03 15:57:34,2024-10-03 15:57:34,0.013s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Site"", false, ""Hourly"")",Chrome 129.0.0.0,,,2024-10-03 15:57:34,2024-10-03 15:58:07,32.727s,PASSED
Start tear down : tearDownTestCase,Chrome 129.0.0.0,,,2024-10-03 15:58:07,2024-10-03 15:58:07,0.009s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Site/Site-Aggregation,Chrome 129.0.0.0,,,2024-10-03 15:58:07,2024-10-03 15:58:46,38.505s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-10-03 15:58:07,2024-10-03 15:58:26,18.715s,PASSED
switchToWindowIndex(1),Chrome 129.0.0.0,,,2024-10-03 15:58:26,2024-10-03 15:58:26,0.016s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Site"", true, ""Hourly"")",Chrome 129.0.0.0,,,2024-10-03 15:58:26,2024-10-03 15:58:46,19.505s,PASSED
Start tear down : tearDownTestCase,Chrome 129.0.0.0,,,2024-10-03 15:58:46,2024-10-03 15:58:46,0.004s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Cell/Cell,Chrome 129.0.0.0,,,2024-10-03 15:58:46,2024-10-03 15:59:40,54.442s,PASSED
